A股代码,证券简称,上市日期
600938,中国海油,20220421
600939,重庆建工,20170221
600941,中国移动,20220105
600955,维远股份,20210915
600956,新天绿能,20200629
600958,东方证券,20150323
600959,江苏有线,20150428
600960,渤海汽车,20040407
600961,株冶集团,20040830
600962,国投中鲁,20040622
600963,岳阳林纸,20040525
600965,福成股份,20040713
600966,博汇纸业,20040608
600967,内蒙一机,20040518
600968,海油发展,20190626
600969,郴电国际,20040408
600970,中材国际,20050412
600971,恒源煤电,20040817
600973,宝胜股份,20040802
600975,新五丰,20040609
600976,健民集团,20040419
600977,中国电影,20160809
600979,广安爱众,20040906
600980,北矿科技,20040512
600981,汇鸿集团,20040630
600982,宁波能源,20040706
600983,惠而浦,20040727
600984,建设机械,20040707
600985,淮北矿业,20040428
600986,浙文互联,20040426
600987,航民股份,20040809
600988,赤峰黄金,20040414
600989,宝丰能源,20190516
600990,四创电子,20040510
600992,贵绳股份,20040514
600993,马应龙,20040517
600995,南网储能,20040615
600996,贵广网络,20161226
600997,开滦股份,20040602
600998,九州通,20101102
600999,招商证券,20091117
601000,唐山港,20100705
601001,晋控煤业,20060623
601002,晋亿实业,20070126
601003,柳钢股份,20070227
601005,重庆钢铁,20070228
601006,大秦铁路,20060801
601007,金陵饭店,20070406
601008,连云港,20070426
601009,南京银行,20070719
601010,文峰股份,20110603
601011,宝泰隆,20110309
601012,隆基绿能,20120411
601015,陕西黑猫,20141105
601016,节能风电,20140929
601018,宁波港,20100928
601019,山东出版,20171122
601020,华钰矿业,20160316
601021,春秋航空,20150121
601022,宁波远洋,20221208
601028,玉龙股份,20111107
601038,一拖股份,20120808
601058,赛轮轮胎,20110630
601059,信达证券,20230201
601061,中信金属,20230410
601065,江盐集团,20230410
601066,中信建投,20180620
601068,中铝国际,20180831
601069,西部黄金,20150122
601077,渝农商行,20191029
601083,锦江航运,20231205
601086,国芳集团,20170929
601088,中国神华,20071009
601089,福元医药,20220630
601096,宏盛华源,20231222
601098,中南传媒,20101028
601099,太平洋,20071228
601100,恒立液压,20111028
601101,昊华能源,20100331
601106,中国一重,20100209
601107,四川成渝,20090727
601108,财通证券,20171024
601111,中国国航,20060818
601113,华鼎股份,20110509
601116,三江购物,20110302
601117,中国化学,20100107
601118,海南橡胶,20110107
601121,宝地矿业,20230310
601126,四方股份,20101231
601127,赛力斯,20160615
601128,常熟银行,20160930
601133,柏诚股份,20230410
601136,首创证券,20221222
601137,博威合金,20110127
601138,工业富联,20180608
601139,深圳燃气,20091225
601155,新城控股,20151204
601156,东航物流,20210609
601158,重庆水务,20100329
601162,天风证券,20181019
601163,三角轮胎,20160909
601166,兴业银行,20070205
601168,西部矿业,20070712
601169,北京银行,20070919
601177,杭齿前进,20101011
601179,中国西电,20100128
601186,中国铁建,20080310
601187,厦门银行,20201027
601188,龙江交通,20100319
601198,东兴证券,20150226
601199,江南水务,20110317
601200,上海环境,20170331
601208,东材科技,20110520
601211,国泰君安,20150626
601212,白银有色,20170215
601216,君正集团,20110222
601218,吉鑫科技,20110506
601222,林洋能源,20110808
601225,陕西煤业,20140128
601226,华电重工,20141211
601228,广州港,20170329
601229,上海银行,20161116
601231,环旭电子,20120220
601233,桐昆股份,20110518
601236,红塔证券,20190705
601238,广汽集团,20120329
601279,英利汽车,20210415
601288,农业银行,20100715
601298,青岛港,20190121
601311,骆驼股份,20110602
601318,中国平安,20070301
601319,中国人保,20181116
601326,秦港股份,20170816
601328,交通银行,20070515
601330,绿色动力,20180611
601333,广深铁路,20061222
601336,新华保险,20111216
601339,百隆东方,20120612
601360,三六零,20120116
601366,利群股份,20170412
601368,绿城水务,20150612
601369,陕鼓动力,20100428
601375,中原证券,20170103
601377,兴业证券,20101013
601388,怡球资源,20120423
601390,中国中铁,20071203
601398,工商银行,20061027
601399,国机重装,20200608
601456,国联证券,20200731
601500,通用股份,20160919
601512,中新集团,20191220
601515,东峰集团,20120216
601518,吉林高速,20100319
601519,大智慧,20110128
601528,瑞丰银行,20210625
601555,东吴证券,20111212
601566,九牧王,20110530
601567,三星医疗,20110615
601568,北元集团,20201020
601577,长沙银行,20180926
601579,会稽山,20140825
601588,北辰实业,20061016
601595,上海电影,20160817
601598,中国外运,20190118
601599,浙文影业,20110527
601600,中国铝业,20070430
601601,中国太保,20071225
601606,长城军工,20180806
601607,上海医药,19940324
601608,中信重工,20120706
601609,金田股份,20200422
601611,中国核建,20160606
601615,明阳智能,20190123
601616,广电电气,20110201
601618,中国中冶,20090921
601619,嘉泽新能,20170720
601628,中国人寿,20070109
601633,长城汽车,20110928
601636,旗滨集团,20110812
601658,邮储银行,20191210
601665,齐鲁银行,20210618
601666,平煤股份,20061123
601668,中国建筑,20090729
601669,中国电建,20111018
601677,明泰铝业,20110919
601678,滨化股份,20100223
601686,友发集团,20201204
601688,华泰证券,20100226
601689,拓普集团,20150319
601696,中银证券,20200226
601698,中国卫通,20190628
601699,潞安环能,20060922
601700,风范股份,20110118
601702,华峰铝业,20200907
601717,郑煤机,20100803
601718,际华集团,20100816
601727,上海电气,20081205
601728,中国电信,20210820
601766,中国中车,20080818
601777,力帆科技,20101125
601778,晶科科技,20200519
601788,光大证券,20090818
601789,宁波建工,20110816
601798,蓝科高新,20110622
601799,星宇股份,20110201
601800,中国交建,20120309
601801,皖新传媒,20100118
601808,中海油服,20070928
601811,新华文轩,20160808
601816,京沪高铁,20200116
601818,光大银行,20100818
601825,沪农商行,20210819
601827,三峰环境,20200605
601828,美凯龙,20180117
601838,成都银行,20180131
601857,中国石油,20071105
601858,中国科传,20170118
601860,紫金银行,20190103
601865,福莱特,20190215
601866,中远海发,20071212
601868,中国能建,20210928
601869,长飞光纤,20180720
601872,招商轮船,20061201
601877,正泰电器,20100121
601878,浙商证券,20170626
601880,辽港股份,20101206
601881,中国银河,20170123
601882,海天精工,20161107
601886,江河集团,20110818
601888,中国中免,20091015
601890,亚星锚链,20101228
601898,中煤能源,20080201
601899,紫金矿业,20080425
601900,南方传媒,20160215
601901,方正证券,20110810
601908,京运通,20110908
601916,浙商银行,20191126
601918,新集能源,20071219
601919,中远海控,20070626
601921,浙版传媒,20210723
601928,凤凰传媒,20111130
601929,吉视传媒,20120223
601933,永辉超市,20101215
601939,建设银行,20070925
601949,中国出版,20170821
601952,苏垦农发,20170515
601956,东贝集团,20201225
601958,金钼股份,20080417
601963,重庆银行,20210205
601965,中国汽研,20120611
601966,玲珑轮胎,20160706
601968,宝钢包装,20150611
601969,海南矿业,20141209
601975,招商南油,20190108
601985,中国核电,20150610
601988,中国银行,20060705
601989,中国重工,20091216
601990,南京证券,20180613
601991,大唐发电,20061220
601992,金隅集团,20110301
601995,中金公司,20201102
601996,丰林集团,20110929
601997,贵阳银行,20160816
601998,中信银行,20070427
601999,出版传媒,20071221
603000,人民网,20120427
603001,ST奥康,20120426
603002,宏昌电子,20120518
603003,龙宇股份,20120817
603004,鼎龙科技,20231227
603005,晶方科技,20140210
603006,联明股份,20140630
603007,ST花王,20160826
603008,喜临门,20120717
603009,北特科技,20140718
603010,万盛股份,20141010
603011,合锻智能,20141107
603012,创力集团,20150320
603013,亚普股份,20180509
603015,弘讯科技,20150303
603016,新宏泰,20160701
603017,中衡设计,20141231
603018,华设集团,20141013
603019,中科曙光,20141106
603020,爱普股份,20150325
603021,山东华鹏,20150423
603022,新通联,20150518
603023,威帝股份,20150527
603025,大豪科技,20150422
603026,胜华新材,20150529
603027,千禾味业,20160307
603028,赛福天,20160331
603029,天鹅股份,20160427
603030,星ST全筑,20150320
603031,安孚科技,20160822
603032,德新科技,20170105
603033,三维股份,20161207
603035,常熟汽饰,20170105
603036,如通股份,20161209
603037,凯众股份,20170120
603038,华立股份,20170116
603039,泛微网络,20170113
603040,新坐标,20170209
603041,美思德,20170330
603042,华脉科技,20170602
603043,广州酒家,20170627
603045,福达合金,20180517
603048,浙江黎明,20211116
603050,科林电气,20170414
603051,鹿山新材,20220325
603052,可川科技,20221011
603053,成都燃气,20191217
603055,台华新材,20170921
603056,德邦股份,20180116
603057,紫燕食品,20220926
603058,永吉股份,20161223
603059,倍加洁,20180302
603060,国检集团,20161109
603061,金海通,20230303
603062,麦加芯彩,20231107
603063,禾望电气,20170728
603065,宿迁联盛,20230321
603066,音飞储存,20150611
603067,振华股份,20160913
603068,博通集成,20190415
603069,海汽集团,20160712
603070,万控智造,20220310
603071,物产环能,20211216
603073,彩蝶实业,20230316
603075,热威股份,20230911
603076,乐惠国际,20171113
603077,和邦生物,20120731
603078,江化微,20170410
603079,圣达生物,20170823
603080,新疆火炬,20180103
603081,大丰实业,20170420
603083,剑桥科技,20171110
603085,天成自控,20150630
603086,先达股份,20170511
603087,甘李药业,20200629
603088,宁波精达,20141111
603089,正裕工业,20170126
603090,宏盛股份,20160831
603093,南华期货,20190830
603095,越剑智能,20200415
603096,新经典,20170425
603097,江苏华辰,20220512
603098,森特股份,20161216
603099,长白山,20140822
